asin,ReviewTag,ReviewTag
0871167042,Positive,29
0871167042,Negative,1
1519588135,Positive,204
1519588135,Negative,33
1579652956,Positive,113
1579652956,Negative,5
1936023857,Positive,9
3979050432,Positive,206
3979050432,Negative,45
5120053017,Positive,55
5120053017,Negative,26
5120053084,Positive,327
5120053084,Negative,9
512005322X,Positive,17
512005322X,Negative,3
5120053475,Positive,4
5120053645,Positive,34
5120053645,Negative,4
5120053890,Positive,72
5120053890,Negative,1
5449736762,Positive,4
5449736762,Negative,1
5780122199,Positive,2
6040596368,Positive,3
6040596368,Negative,1
6040972467,Positive,29
6040972467,Negative,3
6040974753,Positive,16
6042651528,Positive,1
6338750458,Positive,21
6342502315,Positive,1
7709260373,Positive,234
7709260373,Negative,20
8181475135,Positive,25
8742240611,Positive,10
8742240611,Negative,1
899634480X,Positive,5
9789892837,Positive,2
9789896824,Positive,14
9792252916,Positive,158
9792252916,Negative,21
9955164174,Positive,2
B00000INRB,Positive,10
B00000INRB,Negative,1
B00000K3SI,Positive,4
B00001NFX5,Positive,24
B00001NFX5,Negative,5
B00001O375,Positive,18
B00001O375,Negative,5
B00001OGXK,Positive,16
B00001OGXK,Negative,11
B00001QHXX,Positive,98
B00001QHXX,Negative,7
B00001QHXY,Positive,38
B00001QHXY,Negative,6
B00001T38R,Negative,32
B00001T38R,Positive,28
B00001T38U,Negative,1
B00001T38Y,Positive,153
B00001T38Y,Negative,26
B00001TA2G,Positive,14
B00001TOXD,Negative,239
B00001TOXD,Positive,162
B00001TPWY,Positive,13
B00001TPWY,Negative,3
B00001TZZN,Positive,27
B00001TZZN,Negative,2
B00001W0F2,Positive,47
B00001W0F2,Negative,15
B00001W0GC,Positive,186
B00001W0GC,Negative,81
B00001W0J3,Positive,197
B00001W0J3,Negative,28
B00002243H,Positive,62
B00002243H,Negative,9
B00002251L,Positive,46
B00002251L,Negative,4
B00002N5QL,Positive,68
B00002N5QL,Negative,24
B000034DKZ,Positive,160
B000034DKZ,Negative,2
B00004NKKE,Positive,2
B00004NKKE,Negative,1
B00004TF4C,Positive,18
B00004U1J2,Positive,522
B00004U1J2,Negative,124
B00004U1KF,Positive,18
B00004U1KF,Negative,6
B00004U1OD,Positive,76
B00004U1OD,Negative,22
B00004U34D,Positive,5
B00004U34D,Negative,3
B00004U34L,Positive,9
B00004U34L,Negative,2
B00004U3KU,Positive,88
B00004U3KU,Negative,10
