,asin,overall,reviewerID,reviewText,summary,ReviewTag
19847,B0000865II,2.0,A2KT4K9UTELJ34,I wore them on my wedding day. They ripped and gave me a rash at the spot they ripped at. I would have been better off getting cheap drug store panty hose.,I would have been better off getting cheap drug store panty hose,Negative
17813,B00007GDDD,2.0,A3GXOHHC0AHSFS,The strap is not affixed at the correct spot so it will flip over and everything will fall out. I modified it so the strap attaches at a balanced location. It is true that your cards can fall out the side. I addressed this by putting more than one card in a slot and leaving the slot closest to the edge empty. I use it but probably won't for very long.,Move on to other purses,Negative
4873,B00004VWJ3,2.0,A2LPKNX84LC46K,"My mom has been wearing birki's for 20+ years. I bought her a new pair for christmas. The insoles that came with these are uncomfortable and making her feet sore even after 2 months of trying to break them in. Contacted the seller, ""Get on amazon and order some new insoles."" Thanks guys.",Defective,Negative
13992,B00006XXGO,2.0,A2OSAQPNSVLVEW,no support as there is no arch. i expected to get the white ones or the old looking ones but these were hard to wear because they are hard to get used to.,no support as there is no arch. i expected ...,Negative
26076,B0000891KM,1.0,A3AS5R4FH920HI,These are the worst panty hose I haver ever purchased.  They tore while I was putting them on for the first wear.,Worst panty hose ever very low quality,Negative
20954,B0000865JR,2.0,A16VEEQBVJ87P5,entirely too small!  completely unable to wear these!,entirely too small! completely unable to wear these!,Negative
2822,B00001W0J3,1.0,A154HW8RCRZKCK,It was too small and not comfortable.,How it fits,Negative
26077,B0000891KM,2.0,A176I1P9MR6EMY,It fit as expected but it just tore really fast even on the first time I wore it. It just tore really bad when I was adjusting it and I will never wear it again because of all the holes. Would not buy again. The color was fine.,Horrible quality,Negative
2825,B00001W0J3,1.0,A3626E6K0FCXA7,Horrible quality. Ripped the first time I went to put it on my daughter,Save your money,Negative
17821,B00007GDDD,2.0,A2URSR1SS85D1V,Credit card slots are loose,Two Stars,Negative
4867,B00004VWJ3,2.0,A101C7LSS74WC6,"I've owned probably a dozen pair of this shoe over the years, I've been wearing something else recently and was excited to get back to this old trustworthy shoe.  It seems like something has changed in the sizing.  I've been a 48 in birkenstock of all types since I first purchased birkenstock.  I did once have to buy a smaller size (46) because I was in a bind and I ended up buying another (correct, 48) pair a couple weeks later.  This feels like that smaller sized shoe, like a 46.  The box says 48, the inside of the shoe says 48, it's disappointing",did the sizes change?,Negative
2829,B00001T38Y,1.0,A7PVJP2UNSB8G,"Well I was hopping to not get the one in the picture like everyone else. Unfortunately I got the one pictured. Which would have been fine if it wasn't such crap.
It's made of your typical Halloween mask material. Rubbery and it smells. Of course they shipped it in a bag so it's smoothed and deformed. The paint job is terrible. And there looks to be some sort of mold
or blemishes in the plastic. . I'm hoping I can get it back to normal shape so I can at least mess around with it.  It looks like a bad 80s Halloween mask.  Stay away unless you want it as a gag gift.",I recieved what was pictured. Rubbery deformed mask with terrible paint.. Stay clear.,Negative
24748,B0000891JE,2.0,A389OIESHNRYY,Fits well material is good however the color that I purchased does not match in any way the one that I have received. I purchased the same item from another website to avoid receiving the wrong color shade again,Fits well material is good however the color that I purchased does not match ...,Negative
